VC
[2JCold Head Log File
VA07U Magnet Type 97, 0998, Diode Table 2
Magnet S/N 22188387, MSUP S/N 01240

Sensor Status = 0xFF 0xFF
No. Time     Date      Pwr  He1  He2  Link Bore psiA CH
                       x100 x10  x10  x10  x10  x100 x10
085 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
086 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
087 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
088 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
089 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
090 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
091 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
092 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
093 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
094 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
095 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
096 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
097 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
098 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
099 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
100 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
101 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
102 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
103 00:00:00 00/00/000 0000 0000 0000 0000 0000 0000 0000 
104 85:00:99 145/82/001 0000 0000 55300 0000 0000 0000 14410 
CHlog_ptr = 880
Command: 
