VC
[2JCold Head Log File
VA07S Magnet Type 97, 0998, Diode Table 2
Magnet S/N 21268368, MSUP S/N 01199

Sensor Status = 0xFF 0xFF
No. Time     Date      Pwr  He1  He2  Link Bore psiA CH
                       x100 x10  x10  x10  x10  x100 x10
085 02:00:31 14/07/019 0000 0771 0769 0521 0556 1621 0486 
086 02:00:32 21/07/019 0000 0770 0768 0521 0549 1610 0486 
087 02:00:31 04/08/019 0000 0771 0768 0521 0549 1619 0486 
088 02:00:32 11/08/019 0000 0771 0769 0521 0556 1633 0486 
089 02:00:31 18/08/019 0000 0770 0768 0521 0549 1620 0486 
090 02:00:31 25/08/019 0083 0695 0694 0451 0472 1530 0430 
091 02:00:31 01/09/019 0085 0695 0692 0451 0465 1531 0423 
092 02:00:32 08/09/019 0083 0696 0692 0451 0465 1531 0430 
093 02:00:31 15/09/019 0083 0695 0694 0451 0472 1531 0430 
094 02:00:31 22/09/019 0084 0695 0694 0451 0472 1531 0430 
095 02:00:31 29/09/019 0084 0696 0692 0451 0472 1530 0430 
096 02:00:31 06/10/019 0084 0695 0694 0451 0472 1531 0430 
097 02:00:31 13/10/019 0084 0695 0692 0451 0472 1531 0430 
098 02:00:31 20/10/019 0083 0696 0692 0451 0472 1530 0430 
099 02:00:32 27/10/019 0084 0695 0694 0451 0472 1531 0430 
100 02:00:31 03/11/019 0084 0695 0692 0451 0472 1531 0430 
101 02:00:31 10/11/147 0084 0695 0692 0451 0472 1531 0430 
104 85:00:144 135/68/001 0000 0000 44804 0000 0000 0000 14410 
CHlog_ptr = 2040
Command: 
